step,subplatoon,hdv_idx,actual_spacing,actual_velocity,substitute_spacing,substitute_velocity
1.200000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,3.610175700888527217e+01,1.945156709679433504e+01,3.608405018488539895e+01,1.945231058383072309e+01
1.200000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,5.263536277634675997e+01,1.987185108777907772e+01,5.264329394896279268e+01,1.986763909859706700e+01
1.210000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,3.598285374407799964e+01,1.941064458267298320e+01,3.594729198319885199e+01,1.941193185567468049e+01
1.210000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,5.261307130365763385e+01,1.987035572794484750e+01,5.262942969434598695e+01,1.986190796054525975e+01
1.220000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,3.586102792692594221e+01,1.936814083036639289e+01,3.580749915761153090e+01,1.936988390299412544e+01
1.220000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,5.258954952380915415e+01,1.986854592851898360e+01,5.261486707730358603e+01,1.985599713300890556e+01
1.230000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,3.573630036564571810e+01,1.932403866951705851e+01,3.566470882148888677e+01,1.932629652724528313e+01
1.230000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,5.256481042420988103e+01,1.986642112451989206e+01,5.259962507816707245e+01,1.985009823566397102e+01
1.240000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,3.560870690837128905e+01,1.927832615721300158e+01,3.551895095472468711e+01,1.928115370533194550e+01
1.240000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,5.253886567217551118e+01,1.986398053304390032e+01,5.258368311954841090e+01,1.984428216750020013e+01
3.200000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.763065199286370444e+01,1.441016751241114591e+01,2.762073401486393820e+01,1.440172202314954042e+01
3.200000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,3.839573452191405067e+01,1.439940625296478061e+01,3.840354544223229993e+01,1.439482114118158762e+01
3.210000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.760840140303309909e+01,1.440427168275072489e+01,2.758963126000127986e+01,1.438751690853116116e+01
3.210000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,3.843770425577537253e+01,1.440016843437500604e+01,3.845389872333362291e+01,1.439104404715059715e+01
3.220000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.758651995277500646e+01,1.439840631840212382e+01,2.755995211909242926e+01,1.437347719874804319e+01
3.220000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,3.848043398657517855e+01,1.440141622138244237e+01,3.850557517925024342e+01,1.438779105260945812e+01
3.230000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.756503421227353101e+01,1.439258415384039580e+01,2.753170420687145281e+01,1.435959102725138159e+01
3.230000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,3.852385718725508923e+01,1.440313230965378999e+01,3.855849906221583723e+01,1.438504648164423116e+01
3.240000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.754396925824516984e+01,1.438681761057938147e+01,2.750490144593331010e+01,1.434581054103564490e+01
3.240000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,3.856790723030684376e+01,1.440529926475756461e+01,3.861260153300967346e+01,1.438279204541436229e+01
5.200000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.673654650919627329e+01,1.454258258581947949e+01,2.672963553923223401e+01,1.453123168035672919e+01
5.200000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,3.897495943810304198e+01,1.444455433140867484e+01,3.898204986037383435e+01,1.443728292249808653e+01
5.210000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.678363700080103627e+01,1.456607057917082493e+01,2.677123800023711553e+01,1.454421514320090836e+01
5.210000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,3.899306103406206603e+01,1.444943485508574810e+01,3.900816694320455014e+01,1.443528962641285851e+01
5.220000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.683247669008221692e+01,1.459041092577544418e+01,2.681590030016744208e+01,1.455935511041073838e+01
5.220000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,3.901162291883906619e+01,1.445449855785567195e+01,3.903561199956000394e+01,1.443377502600192663e+01
5.230000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.688305116409333095e+01,1.461560306627895756e+01,2.686344765551666924e+01,1.457587697903086443e+01
5.230000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,3.903062855669838882e+01,1.445974254802468195e+01,3.906431932483718583e+01,1.443265513046043047e+01
5.240000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.693535084228551568e+01,1.464164755959462028e+01,2.691381218767257977e+01,1.459339306477548881e+01
5.240000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,3.905006183050079471e+01,1.446516394765556512e+01,3.909424197100769049e+01,1.443183595530953944e+01
7.200000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.995013591470251413e+01,1.951701576341481470e+01,2.993750119644137087e+01,1.950931303673132078e+01
7.200000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,5.180361796488909931e+01,1.941866237415568719e+01,5.181190829190964564e+01,1.941891636998257553e+01
7.210000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.993373360056853016e+01,1.951445077697175634e+01,2.990942719925653037e+01,1.949915173846958183e+01
7.210000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,5.183081894489237129e+01,1.944471014139570642e+01,5.184734797084061597e+01,1.944529906247331041e+01
7.220000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.991827784912334209e+01,1.951220468443168343e+01,2.988324879319685223e+01,1.948937518312587969e+01
7.220000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,5.185576235535745582e+01,1.947024839618495307e+01,5.188046357818973320e+01,1.947119961206787764e+01
7.230000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.990374716361338869e+01,1.951027603156626711e+01,2.985893822552032262e+01,1.947986843885147934e+01
7.230000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,5.187843291424201198e+01,1.949526792221042371e+01,5.191123435607929792e+01,1.949658822459019802e+01
7.240000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.989012109282316487e+01,1.950866353089566374e+01,2.983648045426858175e+01,1.947056222828380356e+01
7.240000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,5.189881833010917944e+01,1.951975997524066742e+01,5.193964737976276069e+01,1.952145287747693558e+01
9.200000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.821573260746163214e+01,1.965926180191037531e+01,2.820172653904987214e+01,1.965058208880277846e+01
9.200000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,4.732599160297058916e+01,1.971095038524132192e+01,4.733472932833047508e+01,1.970401966337578870e+01
9.210000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.820757043987305224e+01,1.965954180879239743e+01,2.818073705234460391e+01,1.964219230946795847e+01
9.210000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,4.732324205384679772e+01,1.971192029892106490e+01,4.734153555552412485e+01,1.969799356814553448e+01
9.220000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.820002130143484464e+01,1.966008065915352176e+01,2.816150571546353021e+01,1.963250586664446473e+01
9.220000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,4.732041478677342639e+01,1.971287631893023828e+01,4.734905340857561384e+01,1.969150412348315626e+01
9.230000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.819317483089753296e+01,1.966091979688786395e+01,2.814431033863616349e+01,1.962168366585314772e+01
9.230000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,4.731754296268786675e+01,1.971382572099268771e+01,4.735740562025326028e+01,1.968477586605281715e+01
9.240000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,2.818707772677180401e+01,1.966208340328144999e+01,2.812934301349230992e+01,1.960972049144496765e+01
9.240000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,4.731466217567003696e+01,1.971477644816120645e+01,4.736668781030992648e+01,1.967788908256077463e+01
1.120000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,3.525738011228031610e+01,2.605031226555025015e+01,3.523807315589530020e+01,2.604401945867046209e+01
1.120000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,5.626591763487044773e+01,2.300869249496114932e+01,5.627705681134521853e+01,2.300078268278704385e+01
1.121000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,3.528708407957856252e+01,2.608812401153801730e+01,3.524920302174430731e+01,2.607573993144341529e+01
1.121000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,5.636151119573969481e+01,2.304484899619376037e+01,5.638478055185015592e+01,2.302910381617081725e+01
1.122000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,3.531684107769160619e+01,2.612594992924760007e+01,3.526109812568446955e+01,2.610767694961218410e+01
1.122000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,5.645707090393739236e+01,2.308107537291179767e+01,5.649345261394365281e+01,2.305758056910281084e+01
1.123000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,3.534666037211673029e+01,2.616379335470524126e+01,3.527374243212909732e+01,2.613980123582147641e+01
1.123000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,5.655258781321640527e+01,2.311736879698046110e+01,5.660305636202135560e+01,2.308619455704982926e+01
1.124000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,3.537655118882275929e+01,2.620165764255077079e+01,3.528712811162386487e+01,2.617208582032741404e+01
1.124000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,5.664805345295621919e+01,2.315372652855483437e+01,5.671357282239706876e+01,2.311495188787102251e+01
1.320000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,3.234859411036541132e+01,2.794554290161356391e+01,3.232786490731540852e+01,2.793849776867461543e+01
1.320000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,6.384815802795765194e+01,2.792235159242409992e+01,6.386031985294862778e+01,2.790511814411141245e+01
1.321000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,3.233709545189958590e+01,2.794715728656115417e+01,3.229649824303290018e+01,2.793323134111752282e+01
1.321000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,6.382240198738463732e+01,2.792730953207007971e+01,6.384887338692882253e+01,2.789293604206211086e+01
1.322000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,3.232561646119575016e+01,2.794876297551398991e+01,3.226598906862628269e+01,2.792811234619012950e+01
1.322000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,6.379636740730620659e+01,2.793210209354645457e+01,6.383928454919378481e+01,2.788068187035296219e+01
1.323000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,3.231416583257168895e+01,2.795036437916855476e+01,3.223632825668717317e+01,2.792313073438220883e+01
1.323000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,6.377006741159129888e+01,2.793673230903571891e+01,6.383155395775720109e+01,2.786837893609193273e+01
1.324000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,3.230275194276418915e+01,2.795196580436939726e+01,3.220751055241593974e+01,2.791826678391033312e+01
1.324000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,6.374351526609552820e+01,2.794120327412864668e+01,6.382568527820409088e+01,2.785603168364033522e+01
1.520000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,2.636185034900881874e+01,2.534175954375211148e+01,2.633692212161422930e+01,2.533527136711617089e+01
1.520000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,5.914698753818356636e+01,2.777301245376280647e+01,5.915960655280190394e+01,2.775227343847735639e+01
1.521000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,2.623419743440535967e+01,2.524058312997549081e+01,2.618535107711630872e+01,2.522741047233371958e+01
1.521000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,5.908957594233925192e+01,2.775906986525348330e+01,5.911737512738427114e+01,2.771779440845778453e+01
1.522000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,2.610651008761760750e+01,2.513830633000718606e+01,2.603475704486265840e+01,2.511825428679682304e+01
1.522000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,5.903115295593943301e+01,2.774476262270448501e+01,5.907666575998317171e+01,2.768311588502864851e+01
1.523000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,2.597891491611289894e+01,2.503502242070256401e+01,2.588535219371460983e+01,2.500712424919347754e+01
1.523000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,5.897169759044800230e+01,2.773008270105854578e+01,5.903743567712474061e+01,2.764820526030277037e+01
1.524000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,2.585152593750490269e+01,2.493081761281472453e+01,2.573730470738813025e+01,2.489450448567960805e+01
1.524000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,5.891118868078683590e+01,2.771502193635055988e+01,5.899965341515785866e+01,2.761303145383521596e+01
