metric,value
RMSVE,4.672845807282786
RMSSE,12.350215539143862
AvgControlTime_s,0.048926184542820515
AvgSolverCoreTime_s,0.04770050066452305
AvgModelingInterfaceTime_s,0.0012256838782974686
AvgTubeTime_s,0.0
AvgTotalTime_s,0.048926184542820515
weight_s,2.5
weight_v,1.5
weight_u,20.0
delta_u_penalty,30.0
spacing_low_penalty,200.0
terminal_spacing_penalty,1000.0
velocity_constraints,True
terminal_velocity_constraint,True
SlackEnabled,1
SlackMax,13.634862979787975
TubeMode,paper_conic
ConicSolver,CLARABEL
