metric,value
RMSVE,2.5990297322530345
RMSSE,11.573684133519302
AvgControlTime_s,0.05257903011380762
AvgSolverCoreTime_s,0.055238473342391306
AvgModelingInterfaceTime_s,-0.0026594432285836815
AvgTubeTime_s,0.0
AvgTotalTime_s,0.05257903011380762
weight_s,2.5
weight_v,1.5
weight_u,20.0
delta_u_penalty,30.0
spacing_low_penalty,200.0
terminal_spacing_penalty,1000.0
velocity_constraints,True
terminal_velocity_constraint,True
SlackEnabled,1
SlackMax,19.525593606487217
TubeMode,paper_conic
ConicSolver,CLARABEL
