Tgap,v0_IDM,veh_len,Tgap_rate,v0_rate,a_IDM,b_IDM,s0_IDM
1.8304,41.0323,4.3671,-0.0295,-0.0074,1.0194,4.3247,5.6119
1.2840,41.8786,4.1389,-0.0486,0.0116,1.5388,3.7016,6.6219
1.3693,40.3568,5.3054,-0.0358,0.0102,1.5126,4.0290,7.9841
1.7545,41.2211,4.4128,0.0054,-0.0020,2.3955,4.8975,6.9652
1.4109,42.9984,5.0803,-0.0499,0.0130,1.2046,4.9156,5.4384
1.6210,40.7957,5.4996,0.0166,0.0149,1.3148,3.3825,7.7480
1.5098,36.0017,4.4922,-0.0123,0.0035,2.2175,3.7853,6.5956
1.9030,44.0269,4.8168,-0.0362,0.0063,1.6393,4.8887,5.8395
0.8029,40.1756,4.1135,0.0016,0.0117,1.9221,4.4107,6.5319
1.2064,44.5010,5.3394,-0.0384,-0.0126,1.2538,3.6078,5.2715
1.2658,40.3296,4.1275,-0.0318,-0.0055,2.3738,4.5338,6.3289
1.9846,39.5188,4.1341,-0.0138,0.0159,1.0650,4.0831,7.9722
0.9739,36.3167,5.1692,0.0238,0.0029,1.4275,3.6922,5.4448
1.1763,41.3518,4.9911,0.0084,0.0021,1.1705,4.0850,7.8580
1.4661,40.4506,4.8882,-0.0198,0.0197,1.7600,3.0129,6.5102
1.7374,38.6660,5.1114,-0.0407,-0.0094,1.9211,3.0553,7.8969
1.1435,40.0009,4.7736,-0.0149,-0.0181,1.4324,4.9827,6.5103

